,0_names,0_logfoldchanges,0_scores,0_pvals,1_names,1_logfoldchanges,1_scores,1_pvals,2_names,2_logfoldchanges,2_scores,2_pvals,3_names,3_logfoldchanges,3_scores,3_pvals,4_names,4_logfoldchanges,4_scores,4_pvals,5_names,5_logfoldchanges,5_scores,5_pvals,6_names,6_logfoldchanges,6_scores,6_pvals,7_names,7_logfoldchanges,7_scores,7_pvals,8_names,8_logfoldchanges,8_scores,8_pvals,9_names,9_logfoldchanges,9_scores,9_pvals,10_names,10_logfoldchanges,10_scores,10_pvals,11_names,11_logfoldchanges,11_scores,11_pvals,12_names,12_logfoldchanges,12_scores,12_pvals,13_names,13_logfoldchanges,13_scores,13_pvals,14_names,14_logfoldchanges,14_scores,14_pvals,15_names,15_logfoldchanges,15_scores,15_pvals,16_names,16_logfoldchanges,16_scores,16_pvals,17_names,17_logfoldchanges,17_scores,17_pvals
19154,IGF2,-4.5000525,-11.450079,3.540205687482521e-30,GPRC5A,-24.586296,-10.708521,1.3346339442192978e-26,OXER1,-24.170185,-9.434839,4.832267420017922e-21,CTB-50L17.14,-3.1226716,-7.1820865,8.223270659142719e-13,PRKCDBP,-3.3032112,-9.415253,1.1452052255426446e-20,TMX4,-3.6310277,-13.459859,7.134394387289591e-40,IRF8,-3.7988667,-9.903585,1.8331264689110635e-22,CDK17,-3.0908666,-9.354718,3.4992437948829894e-20,CISD2,-1.9464662,-8.977624,4.544146402487683e-18,UBE2I,-1.881515,-11.662836,2.9419409546055107e-28,MRPL51,-1.664251,-9.599083,5.80040499380391e-20,MIR210HG,-23.55699,-8.095398,6.349326083639169e-16,FLT4,-24.360582,-9.863595,7.538912082012569e-23,LILRB5,-23.81635,-8.930587,4.947180441198294e-19,DHRS4L2,-2.9945204,-10.417609,2.901349138753361e-22,MUC3A,-23.94403,-9.402465,6.433680027130524e-21,UBE2Q1,-25.182304,-14.736494,1.137836880459606e-48,FAM13B,-25.76759,-17.319448,2.7236716903180367e-66
19155,PTTG1IP,-1.3904469,-11.454054,5.755406629810643e-30,TACC2,-24.514769,-10.711959,1.2865642099539373e-26,SEMA4G,-24.15039,-9.438922,4.6493397299689e-21,RIPK4,-22.946838,-7.184553,7.237467956266335e-13,SERPINA5,-2.482845,-9.42006,1.4521474951952958e-20,RAP1A,-2.1715744,-13.4600315,2.0228724744788413e-38,OSM,-3.7114491,-9.916933,6.738640363243483e-23,TFEC,-23.918278,-9.358484,9.796710315860736e-21,FCGBP,-24.146963,-8.983764,3.076514332771867e-19,SLC2A1,-4.8923016,-11.666251,3.6615636526230527e-31,ADGRE2,-23.96473,-9.611178,8.852176892691166e-22,VWCE,-23.698204,-8.101398,6.045652235428921e-16,FMNL2,-24.192587,-9.868512,7.181595723606573e-23,SEC61A2,-23.667158,-8.93147,4.908119137150121e-19,SNHG19,-3.706948,-10.419214,5.849378067491869e-24,TBX2,-24.005232,-9.405086,6.276671855305982e-21,RRAS,-25.199804,-14.742302,1.0458802788921281e-48,PTPRG,-25.845066,-17.320341,2.682908931654399e-66
19156,STAP2,-3.0134656,-11.455432,3.8352868432586804e-30,UGT2B11,-24.349594,-10.724307,1.1276699486503067e-26,ADH6,-3.802571,-9.441302,6.7576962684552404e-21,TMC5,-3.6232238,-7.184678,7.83057693369591e-13,ITIH4,-3.854487,-9.4200945,8.349358229870105e-21,EPG5,-25.16101,-13.460964,6.099749286672033e-41,MYH9,-1.40998,-9.920078,4.358061086679021e-22,FAM13C,-23.866434,-9.362159,9.46465242244296e-21,COL3A1,-3.98645,-8.992008,4.621601445094099e-19,NFATC1,-3.7573447,-11.668088,2.446171296884819e-30,NPR1,-24.263025,-9.612122,8.772093986378666e-22,RNF213,-1.4189854,-8.102845,7.644505272920509e-15,POFUT2,-24.225082,-9.871393,6.980120449272805e-23,ANKS1B,-23.933352,-8.931493,4.907115732698259e-19,CPN1,-24.075144,-10.421142,2.638852561597811e-25,PTGFR,-24.03644,-9.4102545,5.977972684991801e-21,TOM1L1,-25.141819,-14.745587,9.971745157653164e-49,STAT5B,-25.746075,-17.321012,2.6526284803908385e-66
19157,GAA,-2.3904705,-11.459564,4.06714525969871e-30,IFI44L,-1.6281786,-10.725896,2.1725224940569488e-26,APOBR,-4.817552,-9.447684,4.192695537579346e-21,LRRC32,-2.19417,-7.1903973,8.921753303796612e-13,EVA1C,-24.271177,-9.424112,5.326629901978419e-21,FUT11,-25.064388,-13.469088,5.47538752795185e-41,FGL2,-2.5963182,-9.9232025,3.0662721303931196e-22,CD33,-23.830696,-9.372702,8.572458534442845e-21,BCL11B,-3.5341203,-8.99473,2.6157036051844244e-18,IL1B,-3.6856635,-11.669729,4.845950072083829e-30,RAB33A,-24.088778,-9.617584,8.322562205129496e-22,LINC01018,-23.392183,-8.104435,5.897502096501189e-16,ACSM2B,-3.6725883,-9.878347,9.863778743315422e-21,SEPT1,-2.8003523,-8.940164,8.540405581490843e-17,F9,-24.037506,-10.421168,2.638109406123525e-25,MOB3B,-23.8831,-9.410377,5.9710942943450324e-21,ABCG5,-25.384447,-14.754109,8.81121374719596e-49,TRPT1,-25.61438,-17.324175,2.5145343719433036e-66
19158,PAICS,-2.378456,-11.463892,3.7489427092116025e-30,RERGL,-24.60542,-10.728995,1.0725796110121333e-26,SMIM22,-24.236336,-9.452533,4.0875677952486745e-21,CYP2E1,-1.6405673,-7.1915545,9.26409438994564e-13,UNC5B,-24.125362,-9.426275,5.2189306649380225e-21,RPL10,-1.2357303,-13.471627,8.555297582076083e-38,CRLF3,-3.0319333,-9.923707,1.0377042104855143e-22,RPL13A,-0.8456204,-9.378302,1.8345760570688497e-19,FCRL3,-24.063648,-8.996385,2.745241017406339e-19,TTTY15,-4.7127175,-11.669805,4.299709576696171e-31,RRAS,-3.4608276,-9.62317,2.5499106156158675e-21,SLC22A10,-23.359945,-8.107767,5.739045946126323e-16,RP13-270P17.3,-24.13273,-9.878463,6.509172345404269e-23,SLC38A5,-23.771038,-8.947953,4.2327956895307196e-19,TMEM176A,-2.6925845,-10.424515,5.793716443316179e-21,RP11-206L10.9,-24.024927,-9.410603,5.958347942155219e-21,NR2F6,-25.22198,-14.75957,8.13931816112549e-49,GRAMD1A,-25.739038,-17.326561,2.415151810728768e-66
19159,GHR,-24.648369,-11.473581,2.9592514172475062e-30,AHCY,-2.2671754,-10.729029,1.6831983694864203e-26,GINS4,-24.121078,-9.454321,4.018943187173572e-21,FAM118A,-1.0755804,-7.1928663,1.0167667970022275e-12,WDR91,-24.058287,-9.431994,4.9444382888716145e-21,SLC35G2,-25.155043,-13.481025,4.671410698042049e-41,TERF2IP,-1.8467385,-9.926986,3.204162483993247e-22,TACSTD2,-24.198837,-9.379923,8.009956071645369e-21,GUCA2B,-24.241186,-8.99958,2.6671006427104535e-19,TSPAN2,-24.606716,-11.68161,2.4967232060339166e-31,TMEM233,-24.225622,-9.624987,7.749558695496992e-22,CBLC,-23.493324,-8.110217,5.625221452247997e-16,MYLK,-3.7693267,-9.880554,2.138550805608619e-21,TSPAN5,-23.842066,-8.948029,4.229945316653962e-19,FAM73A,-3.5330622,-10.4276705,1.4269408778393925e-23,RP11-61J19.5,-23.87545,-9.417087,5.6046582480442046e-21,METTL7B,-25.16959,-14.775221,6.483205352238763e-49,SIRPG,-25.862474,-17.334074,2.127046354599454e-66
19160,ACSM1,-24.584188,-11.479597,2.7632957079413337e-30,CXCL8,-1.8601216,-10.73059,1.6352516161255746e-26,MLIP,-24.206036,-9.459953,3.810163833693416e-21,C4orf19,-22.910492,-7.194262,6.743244467022897e-13,GPIHBP1,-24.292212,-9.43359,4.870450179584467e-21,DNAJB4,-2.5757954,-13.483098,7.616099727798755e-39,HIST2H2AC,-3.1153312,-9.927807,6.682730396369517e-23,USP15,-1.7078823,-9.381597,8.873892573226773e-20,FAM173A,-23.848347,-9.002548,2.5965094717628075e-19,SLFN13,-24.812765,-11.687177,2.3404021337989467e-31,KLF5,-4.287152,-9.631361,1.0363566119875443e-21,PLCB2,-23.697512,-8.11192,5.547424315522921e-16,TRERF1,-24.163984,-9.881595,6.310709966628877e-23,FGD2,-23.717888,-8.955048,3.9712161217988292e-19,COX4I2,-24.441172,-10.428004,2.4568870260290334e-25,EVA1C,-24.156399,-9.4209,5.406387245111062e-21,MORN2,-25.147774,-14.780704,5.986315942620908e-49,FRMD4A,-25.792812,-17.336243,2.0504346696872888e-66
19161,CTGF,-3.8187466,-11.482668,2.5137565961925582e-30,PCYT2,-2.9325635,-10.731644,1.2879916258494147e-26,INSIG1,-1.294928,-9.480504,8.41609374058804e-21,LUC7L3,-0.8265825,-7.1993766,1.011367196507361e-12,RND2,-4.0845695,-9.437875,5.539255427960149e-21,ARL6IP5,-1.872227,-13.483829,2.3037355145531866e-38,DLL1,-24.442698,-9.930788,3.9095443815652e-23,NFASC,-23.996319,-9.38444,7.676734258547159e-21,HEYL,-23.645954,-9.0048685,2.5426124485472703e-19,ANGPT2,-3.314695,-11.688829,9.567287444656488e-30,ZNF385D,-24.004303,-9.635194,7.023022171724441e-22,IDO1,-23.798594,-8.1153,5.396119254145053e-16,FOXP3,-24.194593,-9.882463,6.256702082549259e-23,CPVL,-3.5593534,-8.956338,2.3631826914032834e-17,CARMN,-24.540741,-10.430878,2.384434739287328e-25,UNC5B,-24.010689,-9.423061,5.297148342181889e-21,RND3,-25.3103,-14.799527,4.5515103336118966e-49,INO80D,-25.827353,-17.34807,1.6785222484763354e-66
19162,CD163,-4.1904707,-11.483682,2.4282999985367775e-30,OSBPL1A,-4.675386,-10.731838,9.952655226864225e-27,TIPARP,-1.7027093,-9.480972,7.863510778289434e-21,FLNB,-1.6482091,-7.205403,8.877377177472777e-13,SEMA4G,-24.122677,-9.438104,4.667015196648177e-21,BMPR2,-4.01484,-13.486766,2.625794413599295e-40,PGM2L1,-2.9064984,-9.934384,1.5693575812833823e-22,PHF1,-2.0982058,-9.390219,4.6044259238587874e-20,SIGLEC1,-23.866335,-9.007937,2.473002794965525e-19,MAPKAPK5-AS1,-3.4438043,-11.69282,3.101505259140241e-30,LPXN,-2.729536,-9.635223,1.93682034947484e-20,SULT1A2,-23.584595,-8.117706,5.290892548019206e-16,CADPS2,-24.135788,-9.884545,6.129235450256021e-23,PAXIP1,-23.863592,-8.956945,3.9040155252056386e-19,DHX57,-24.231937,-10.433211,2.3271722542492123e-25,C4orf36,-23.96056,-9.427206,5.093676231871432e-21,CCDC109B,-25.302078,-14.808158,4.013699537733082e-49,CUL4B,-25.76637,-17.35142,1.58601554644683e-66
19163,ENPEP,-24.650381,-11.491032,2.4256474503368293e-30,SHROOM4,-24.766047,-10.738278,9.71249270296448e-27,EIF1,-0.7580184,-9.481661,1.149445577362222e-20,PLOD2,-2.2274232,-7.207185,8.438760055801078e-13,PRDX1,-1.006131,-9.439223,2.0472982701643312e-20,FRZB,-25.419773,-13.496166,3.818401613502774e-41,CRISPLD2,-3.6619713,-9.938235,5.520775043900258e-23,FBLN7,-23.894594,-9.395108,6.943323029135717e-21,SLC2A4RG,-2.6289313,-9.010814,1.2989900136931884e-18,MYO1F,-3.044046,-11.69945,7.083337805802665e-29,DUSP14,-3.2253609,-9.645052,2.1233821452147223e-21,FOLH1,-3.6882968,-8.122304,1.028016381446625e-15,PPP2R5D,-24.044323,-9.885302,6.083543689410336e-23,SFMBT2,-3.7266195,-8.970327,3.958603699000215e-18,PALM3,-24.259209,-10.434036,2.3072553339836924e-25,WDR91,-23.943659,-9.428775,5.01872503643108e-21,ZBTB4,-25.184036,-14.809689,3.925159602016599e-49,EMC9,-25.604721,-17.354933,1.4944408883193077e-66
